modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'ball_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'uniform'}",7,168,118538587833324.38,0.663904735783507,0.8279947191690572,0.7393319893947705,0.24379815374331446,0.2604395819970774
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'ball_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'distance'}",7,168,116382121478097.52,0.6572929618470628,0.8207459789680548,0.727032803859916,0.2557527349759613,0.26142095342365124
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'ball_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'uniform'}",7,168,118538587833324.38,0.663904735783507,0.8279947191690572,0.7393319893947705,0.24379815374331446,0.2604395819970774
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'ball_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'distance'}",7,168,116382121478097.52,0.6572929618470628,0.8207459789680548,0.727032803859916,0.2557527349759613,0.26142095342365124
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'kd_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'uniform'}",7,168,118538587833324.38,0.663904735783507,0.8279947191690572,0.7393319893947705,0.24379815374331446,0.2604395819970774
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'kd_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'distance'}",7,168,116382121478097.52,0.6572929618470628,0.8207459789680548,0.727032803859916,0.2557527349759613,0.26142095342365124
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'kd_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'uniform'}",7,168,118538587833324.38,0.663904735783507,0.8279947191690572,0.7393319893947705,0.24379815374331446,0.2604395819970774
Kneighboors,"{'n_neighbors': 5, 'algorithm': 'kd_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'distance'}",7,168,116382121478097.52,0.6572929618470628,0.8207459789680548,0.727032803859916,0.2557527349759613,0.26142095342365124
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'ball_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'uniform'}",7,168,130923178004449.86,0.6760087538855367,0.8383268574199881,0.7595484057871642,0.2287019395113463,0.22681936422379148
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'ball_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'distance'}",7,168,127379696883079.25,0.663223657963898,0.8240685059712956,0.7345474032616126,0.25401793287091545,0.23211190987430044
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'ball_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'uniform'}",7,168,130923178004449.86,0.6760087538855367,0.8383268574199881,0.7595484057871642,0.2287019395113463,0.22681936422379148
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'ball_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'distance'}",7,168,127379696883079.25,0.663223657963898,0.8240685059712956,0.7345474032616126,0.25401793287091545,0.23211190987430044
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'kd_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'uniform'}",7,168,130923178004449.86,0.6760087538855367,0.8383268574199881,0.7595484057871642,0.2287019395113463,0.22681936422379148
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'kd_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'distance'}",7,168,127379696883079.25,0.663223657963898,0.8240685059712956,0.7345474032616126,0.25401793287091545,0.23211190987430044
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'kd_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'uniform'}",7,168,130923178004449.86,0.6760087538855367,0.8383268574199881,0.7595484057871642,0.2287019395113463,0.22681936422379148
Kneighboors,"{'n_neighbors': 10, 'algorithm': 'kd_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'distance'}",7,168,127379696883079.25,0.663223657963898,0.8240685059712956,0.7345474032616126,0.25401793287091545,0.23211190987430044
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'ball_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'uniform'}",7,168,138785846169029.69,0.6951004906442372,0.8584513640500837,0.79814858546149,0.19289280076306584,0.20798303043625563
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'ball_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'distance'}",7,168,134483142225700.83,0.6775835143443395,0.8390057180964141,0.7627737037855469,0.22889233363294564,0.2158333633697369
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'ball_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'uniform'}",7,168,138785846169029.69,0.6951004906442372,0.8584513640500837,0.79814858546149,0.19289280076306584,0.20798303043625563
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'ball_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'distance'}",7,168,134483142225700.83,0.6775835143443395,0.8390057180964141,0.7627737037855469,0.22889233363294564,0.2158333633697369
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'kd_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'uniform'}",7,168,138785846169029.69,0.6951004906442372,0.8584513640500837,0.79814858546149,0.19289280076306584,0.20798303043625563
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'kd_tree', 'leaf_size': 30, 'n_jobs': -1, 'weights': 'distance'}",7,168,134483142225700.83,0.6775835143443395,0.8390057180964141,0.7627737037855469,0.22889233363294564,0.2158333633697369
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'kd_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'uniform'}",7,168,138785846169029.69,0.6951004906442372,0.8584513640500837,0.79814858546149,0.19289280076306584,0.20798303043625563
Kneighboors,"{'n_neighbors': 15, 'algorithm': 'kd_tree', 'leaf_size': 60, 'n_jobs': -1, 'weights': 'distance'}",7,168,134483142225700.83,0.6775835143443395,0.8390057180964141,0.7627737037855469,0.22889233363294564,0.2158333633697369
SVR,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}",7,168,182896432919234.97,0.7466215847254718,0.9259210797779736,0.9417739346661423,0.08243478320276328,0.15236455875204724
SVR,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}",7,168,82682359865343.55,0.48823610086447045,0.6508274168627487,0.8843195549152636,0.24695814216818684,0.4316712568176722
SVR,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}",7,168,183563784686997.9,0.7478854093327592,0.9273738818298914,0.9444922189803205,0.07983766156188156,0.15169734081950256
SVR,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'linear'}",7,168,82197218270632.66,0.4865842757895723,0.646795684833416,0.8510381340265599,0.27272466291267733,0.4312661315087366
SVR,"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'rbf'}",7,168,184986732139636.84,0.7520248722318784,0.9316784181840018,0.9528626180975587,0.07216627241429599,0.14937162835759693
SVR,"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'linear'}",7,168,81705850713462.62,0.48638130786741085,0.6457271802270276,0.8281327459699662,0.2888078276938974,0.42963831313896317
SVR,"{'C': 1.0, 'epsilon': 0.01, 'kernel': 'rbf'}",7,168,119968416987673.56,0.5608900139491796,0.7158053058495326,0.562626618122221,0.4420474818339578,0.29805950807022097
SVR,"{'C': 1.0, 'epsilon': 0.01, 'kernel': 'linear'}",7,168,76439091172243.52,0.48760531755796027,0.6618463912536348,1.3564634385486773,-0.011353421745740123,0.43735803999424366
SVR,"{'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}",7,168,120513315535845.23,0.5593238262952641,0.7138709911845338,0.55988403171575,0.44559178446151165,0.2983780471476744
SVR,"{'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}",7,168,75946164360752.4,0.48599260876069345,0.6598671829821406,1.2258822943959484,0.04548767120753753,0.43706680475289167
SVR,"{'C': 1.0, 'epsilon': 0.2, 'kernel': 'rbf'}",7,168,121629783895971.75,0.5598902105475159,0.7141738476751148,0.5605913556147557,0.4457863979723734,0.299007045109648
SVR,"{'C': 1.0, 'epsilon': 0.2, 'kernel': 'linear'}",7,168,75587140236441.7,0.48573017754115,0.6595371226540891,1.2855439039678014,0.006521652133099831,0.43478957088517295
SVR,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}",7,168,100665876863186.97,0.5930246038899444,0.7568810893819407,0.6279820608178103,0.358165692942466,0.28510117553261116
SVR,"{'C': 10, 'epsilon': 0.01, 'kernel': 'linear'}",7,168,75367687717587.03,0.4923297194927463,0.6710300657330235,1.49102796983131,-0.09242787980037395,0.4337853190977132
SVR,"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}",7,168,101074373799315.31,0.5821721241875409,0.7440048429711543,0.6073099441385171,0.38168286439038984,0.2921447017871102
SVR,"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}",7,168,75398985643774.58,0.4915693318029966,0.672847979818801,1.774657314174921,-0.24140159028508879,0.43467362499709994
SVR,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}",7,168,102494872491719.52,0.5741061365118457,0.7341155060319334,0.5912792859989953,0.39962238502256814,0.29750429036478265
SVR,"{'C': 10, 'epsilon': 0.2, 'kernel': 'linear'}",7,168,74795296274799.25,0.49030376110434276,0.6701293626059889,1.6043975349551436,-0.21616488411507587,0.43420973573169264
