modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
mlp,"{'hidden_layers': [16, 32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,76273113168583.2,1.055708785811249,1.2760411419718263,1.8002148111671223,-0.97366229663287,0.10025664098402393
mlp,"{'hidden_layers': [16, 32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,86486211337850.52,1.0120925039787885,1.237768216926009,1.657238143522305,-0.8488406791627177,0.07434972300537539
mlp,"{'hidden_layers': [16, 32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,80650502818085.22,1.1263182259521125,1.3617186526463294,2.0510944452504103,-1.2689929574087764,0.09255456684392847
mlp,"{'hidden_layers': [16], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,91093272058065.67,1.1665868380417428,1.4085083488300825,2.412801108640458,-1.556542385479862,0.16141487601624482
mlp,"{'hidden_layers': [16], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,84118346289180.53,1.1599766433872536,1.4062364687606987,2.135629804591873,-1.3826937998518747,0.06912498427232464
mlp,"{'hidden_layers': [16], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,75842287957389.89,1.4863731879130366,1.8008303684152098,3.725920536345192,-3.321760365240981,0.06259072938866912
mlp,"{'hidden_layers': [32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,85236580833489.7,1.1658154934188538,1.4071007045977741,2.424762244348838,-1.5786728876517713,0.15155145376043103
mlp,"{'hidden_layers': [32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,81546853773173.33,1.0835974149912797,1.326465325038357,1.9326582576739573,-1.1262455872006476,0.07796685383263373
mlp,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,64145488102825.77,1.5418980389170598,1.8811892768040028,4.011641559464646,-3.477747241994388,0.05552078886042736
mlp,"{'hidden_layers': [64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,95957163650821.95,1.2126913040622966,1.4613466379624374,2.631667388512691,-1.7697859447107174,0.1381312417410447
mlp,"{'hidden_layers': [64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,93810656277010.05,1.006294867543339,1.2180552986481643,1.6133791367128303,-0.7438440542908127,0.07049814593490873
mlp,"{'hidden_layers': [64], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,80051318486859.62,1.3278141740150036,1.610390332254884,2.8731763084302693,-2.1414747126709446,0.04949098306468278
mlp,"{'hidden_layers': [32, 64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,80809706385938.05,1.0446201431926112,1.2793202230682252,1.794302154689892,-0.9624454210166743,0.08305858191871902
mlp,"{'hidden_layers': [32, 64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,85381316620483.66,0.9969667997008481,1.2139318900831038,1.5827983423128538,-0.7450949407556956,0.06710722003452121
mlp,"{'hidden_layers': [32, 64], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,77385819891280.77,1.1681499909798037,1.4048584697450268,2.1706524273502836,-1.3912530962096163,0.05857444903806148
mlp,"{'hidden_layers': [16, 32, 64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,78264419453332.62,1.0096139329542613,1.2297369806569964,1.6822128548235458,-0.8199910266169931,0.10880739054815781
mlp,"{'hidden_layers': [16, 32, 64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,90387580581261.67,1.0211748630872797,1.2423692136923847,1.67434643983931,-0.8444795471568216,0.06181475629507189
mlp,"{'hidden_layers': [16, 32, 64], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",14,336,67636293676360.02,1.049569264877917,1.2569042167811215,1.7589274861659172,-0.9358393402086931,0.06582345762163629
