modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
mlp,"{'hidden_layers': [16, 32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,82322852246999.97,0.9931911798578406,1.20677490175034,1.591412140164555,-0.7092788662795413,0.10144985418619341
mlp,"{'hidden_layers': [16, 32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,78984429932089.52,1.0158491309761764,1.2251974930308316,1.6327731151518692,-0.7858452877487172,0.07196877952877043
mlp,"{'hidden_layers': [16, 32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,68751637460700.06,1.1107449272601304,1.3615705478564972,2.06479489856549,-1.3234986409728147,0.07279067568025846
mlp,"{'hidden_layers': [16], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,75303953737371.02,1.0366337695351195,1.2503745767652876,1.796069263332046,-0.9508086720709998,0.14086941899018005
mlp,"{'hidden_layers': [16], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,76176561108440.08,1.2086663810565832,1.4730789408980849,2.3789773423822584,-1.5787001057922276,0.050620543446224006
mlp,"{'hidden_layers': [16], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,95976456811992.38,1.754835349580066,2.135142515746909,5.382593874163624,-5.054804307767741,0.054056728912244834
mlp,"{'hidden_layers': [32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,74074622142627.19,1.0656124630085533,1.2892165440040628,1.936934287784453,-1.0467300067537801,0.14295819681232558
mlp,"{'hidden_layers': [32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,86329977641578.33,1.0921586178479685,1.3216227361057424,1.8882888008741392,-1.1115624402303408,0.05911989035285748
mlp,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,136681676944596.28,1.685532177020823,2.035206646695377,4.820062395178742,-4.82374037648289,0.07815568650321299
mlp,"{'hidden_layers': [64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,75645614550975.62,1.0726180375864107,1.303175813679328,2.0240015848492594,-1.1902406126599245,0.1642370286765302
mlp,"{'hidden_layers': [64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,82473857710048.11,1.0291625470455201,1.2357808056875828,1.6561636033242986,-0.8300693213241476,0.0720258016181496
mlp,"{'hidden_layers': [64], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,97836900602702.14,1.5771629075750724,1.922979737336339,4.392751645169241,-3.7395879835858232,0.05006597180253071
mlp,"{'hidden_layers': [32, 64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,88873881604681.78,1.0259257612868198,1.2384332444817812,1.7072910071639786,-0.8128003632562224,0.1129628046249544
mlp,"{'hidden_layers': [32, 64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,80231358163367.23,1.0353040712353374,1.2422228217099698,1.6816102598748417,-0.8712099269196096,0.08051735932360723
mlp,"{'hidden_layers': [32, 64], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,79329122411927.08,1.2415249886975201,1.497023972150929,2.5346364164464465,-1.9010927875382782,0.060449004777775164
mlp,"{'hidden_layers': [16, 32, 64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,85335487391387.02,1.0077929338765523,1.2243742243558862,1.6591367022406394,-0.7606005671994481,0.09475672839315721
mlp,"{'hidden_layers': [16, 32, 64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,73374810908835.16,1.0360033610244355,1.2495334864586727,1.694217601569114,-0.8972807645226485,0.07235844759374584
mlp,"{'hidden_layers': [16, 32, 64], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,72039869452353.6,1.0515959943626223,1.268218303229677,1.7974625763510883,-1.0438468485259644,0.08011148770666432
