modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
mlp,"{'hidden_layers': [16, 32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,60184045016232.53,0.9502689670436281,1.1500461697102364,1.4559920792402308,-0.5933330094933794,0.11054068868297025
mlp,"{'hidden_layers': [16, 32], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,68085203344151.61,0.9499251294467185,1.1427496047072179,1.456899572178,-0.6465574369573598,0.12509368955543076
mlp,"{'hidden_layers': [16, 32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,59164396309813.414,0.9752486413827648,1.1795369272811203,1.514166513371455,-0.7081902227893526,0.0819371223842851
mlp,"{'hidden_layers': [16, 32], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,63239290916062.82,1.1761111707756753,1.4384551432245003,2.6848041317165303,-2.218760054867237,0.06457913916816697
mlp,"{'hidden_layers': [16, 32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,61431789383615.625,1.0419343851653924,1.266431240080217,1.7187489207138988,-0.9635687959898632,0.12429060946781188
mlp,"{'hidden_layers': [16, 32], 'activation': 'relu', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,84599502615763.95,0.9918902604668227,1.2111999221763026,1.6202994688765242,-0.5828294637719322,0.020752379793939627
mlp,"{'hidden_layers': [16], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,71265114788599.12,0.945753933323754,1.156832604008504,1.4581573763559041,-0.645703113231615,0.15601230010942937
mlp,"{'hidden_layers': [16], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,73963512854842.81,0.9305092050284935,1.1249358274471501,1.3962643801555679,-0.4616281921423632,0.10359084982507695
mlp,"{'hidden_layers': [16], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,83052206382801.28,1.1227442810696269,1.3697922979993677,2.0129116007536902,-1.2931192779888228,0.07914500172039209
mlp,"{'hidden_layers': [16], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,68637505211528.05,0.9972921243578038,1.2018750911464946,1.6203858237693722,-0.7978636478955113,0.05344083024495705
mlp,"{'hidden_layers': [16], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,96991248625339.84,1.5388930003686,1.8906767504229987,3.9439027594729095,-3.6233265657924245,0.08036673965984101
mlp,"{'hidden_layers': [16], 'activation': 'relu', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,86086103497192.38,1.3711617216931051,1.64844783105138,3.426513501883732,-2.731136720697223,0.04570134415421688
mlp,"{'hidden_layers': [32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,65380495091788.49,0.9583125624234083,1.1684486524459978,1.4818620158066111,-0.663029526628083,0.15531630576711772
mlp,"{'hidden_layers': [32], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,69342723502362.33,0.9373930494936688,1.1336222064228054,1.4019184961279023,-0.551960385537467,0.12581716222673592
mlp,"{'hidden_layers': [32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,62174376215655.555,1.006974803155692,1.222400766008689,1.6212368709224294,-0.783039685635436,0.10958291803722833
mlp,"{'hidden_layers': [32], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,73014592097589.53,1.1228340291156969,1.3559101054516038,2.5380957192028553,-1.7281769152447228,0.063937169706736
mlp,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,83424099739638.05,1.4907210278428267,1.7959032376809185,3.5136072298218775,-3.0262011575794436,0.0507462178914255
mlp,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,45797230951148.4,1.3155979846007926,1.6072072524082779,3.0255329987986115,-2.3483604197037495,0.020196378834048487
mlp,"{'hidden_layers': [64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,70819864164406.8,0.9665188861114008,1.1685718718449383,1.470701356973916,-0.6724577618349752,0.2152661990849862
mlp,"{'hidden_layers': [64], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,75566848007369.05,0.9745866003332945,1.1781080320867963,1.5131198871412628,-0.6323737639088882,0.074301179666444
mlp,"{'hidden_layers': [64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,70045295431485.555,0.9803600319242352,1.1821261287571945,1.5084583637902496,-0.6845699237309602,0.08299284459483566
mlp,"{'hidden_layers': [64], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,68360463132488.42,1.1530125033130092,1.3822700822082943,2.3467210962984275,-1.7834842361234222,0.03623434904010849
mlp,"{'hidden_layers': [64], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",21,504,90597588488517.92,1.4617582664221387,1.770771169962349,3.5247158873877034,-2.7047637989667024,0.07140351662152909
mlp,"{'hidden_layers': [64], 'activation': 'relu', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",21,504,86419256043076.66,1.6995146422563168,2.064007615865472,6.440878693029992,-7.614460014488834,0.03529068103785348
