modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
mlp,"{'hidden_layers': [16, 32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,95237315732987.1,1.0363269175051442,1.2545394261914968,1.7260503501120892,-0.9323418340441053,0.09416688938253726
mlp,"{'hidden_layers': [16, 32], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,97870792432914.5,1.0175057317147325,1.2275502587343676,1.6511732630728513,-0.8426623659837598,0.06981049788338213
mlp,"{'hidden_layers': [16, 32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,90779170991063.42,1.0127887804920856,1.218537314427959,1.6104139555802048,-0.8313476562928179,0.05442861501400122
mlp,"{'hidden_layers': [16, 32], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,77282248216381.69,1.1649890085680568,1.4095037290644028,2.5368610973811827,-1.9897538526882692,0.049591739521911524
mlp,"{'hidden_layers': [16, 32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,89493261021319.69,1.0129994127360402,1.2192947145486692,1.6585509786742165,-0.8723013217308836,0.09325942190213049
mlp,"{'hidden_layers': [16, 32], 'activation': 'relu', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,91590118467487.14,1.0956405301588577,1.313018670010976,2.0509120016931917,-0.9930046548878869,0.022011342414117768
mlp,"{'hidden_layers': [16], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,90617214840427.61,1.0807865867193365,1.3111391272976378,1.8458261859930403,-1.0828065012603356,0.1586044936442688
mlp,"{'hidden_layers': [16], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,94174246062013.17,0.996726882108402,1.1967541747435029,1.569918388671609,-0.7715186166168229,0.09871517170166696
mlp,"{'hidden_layers': [16], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,88843940296712.25,1.0957228309860378,1.3223418942653604,1.887715506297076,-1.181381162034639,0.05535004184410202
mlp,"{'hidden_layers': [16], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,86964679962039.52,1.0025273169407913,1.1937067853826908,1.5866856514024072,-0.7722715080207404,0.05818770619369436
mlp,"{'hidden_layers': [16], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,107151858676628.1,1.2760512350737747,1.537800252655403,2.642337870152824,-2.1722775894712565,0.03598785283453977
mlp,"{'hidden_layers': [16], 'activation': 'relu', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,81129573209670.14,1.2148547133638936,1.4794746005476926,3.1646262519850015,-2.363096029672727,0.03393175070969577
mlp,"{'hidden_layers': [32], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,89580918533439.5,1.0534483411455111,1.2791064950003828,1.7725087344710635,-1.0199589404649883,0.13013236185919722
mlp,"{'hidden_layers': [32], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,89779692038767.36,1.0194750436005138,1.2217296992422406,1.630424703560256,-0.8627142403687577,0.10795460262007278
mlp,"{'hidden_layers': [32], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,88679383954143.86,1.060390560863874,1.271041952031001,1.742071889718826,-0.9707458345435935,0.05904165841879697
mlp,"{'hidden_layers': [32], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,85940305188301.98,0.9765756636093824,1.1647964102913686,1.5370835369289135,-0.7734756496401043,0.09095104122056169
mlp,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,91732945661247.58,1.1661364102899865,1.400277846560351,2.2075935024164544,-1.4127252349859205,0.08229436171510376
mlp,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,91531228226947.52,1.5866464964636078,1.9363821613000693,6.772935826717279,-8.190484369876696,0.03898791068108721
mlp,"{'hidden_layers': [64], 'activation': 'tanh', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,87712570517947.36,1.0863513110785474,1.303345300443826,1.8531587944615031,-1.0849626207941028,0.12815076898485783
mlp,"{'hidden_layers': [64], 'activation': 'tanh', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,97074670146481.94,1.0347078475869183,1.2488410849743183,1.7040388051234865,-0.9303511279850165,0.12850462710151644
mlp,"{'hidden_layers': [64], 'activation': 'linear', 'learning_rate': 0.01, 'epochs': 50, 'batch_size': 32}",7,168,81832282046884.75,1.0036527582850212,1.2060957062934805,1.6020384271064203,-0.8073939248356601,0.05565572454575333
mlp,"{'hidden_layers': [64], 'activation': 'linear', 'learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}",7,168,88480553910212.67,1.078100820578935,1.2884120558869887,1.9152226531335612,-1.2264625475629058,0.07716413677680004
