modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
lr,,7,168,73684633194500.5,0.4980015333826363,0.6756396906338888,1.7409515689225603,-0.3277874469565966,0.4365649221468884
ridge,{'alpha': 0.01},7,168,73300902464329.38,0.4943416323399515,0.6643205399797755,1.125665051770168,0.0356965615763671,0.4365154800179183
ridge,{'alpha': 0.1},7,168,72431276696803.78,0.4869680708707132,0.6431824521210454,0.6463380440411977,0.3511469604030571,0.4365258499488668
ridge,{'alpha': 1.0},7,168,70821650041286.39,0.4797276803221258,0.6261819717604656,0.5344829919953746,0.4443261017343941,0.4365560941649972
ridge,{'alpha': 10.0},7,168,72354833012870.19,0.473338425647633,0.6103697163101237,0.4248411453938958,0.555453444976574,0.4319726173330612
lasso,{'alpha': 0.01},7,168,71883980163774.31,0.4727557812303537,0.6095229023548615,0.4153269908347647,0.5668250709679022,0.4355076696371253
lasso,{'alpha': 0.1},7,168,82010662385188.06,0.4793627375181021,0.6127704395217829,0.4021953030966571,0.5794204977907027,0.4206843168749881
lasso,{'alpha': 1.0},7,168,159194769653176.5,0.7092619174460794,0.8700543741568474,0.8237162856947206,0.1524775891000346,0.1902222934750961
lasso,{'alpha': 10.0},7,168,259956705072220.75,1.043489705594156,1.25369834045013,1.6866395308262334,-0.6613171027679211,0.05032116073165
ridge,"{'alpha': 0.01, 'fit_intercept': True}",7,168,73300902464329.38,0.4943416323399515,0.6643205399797755,1.125665051770168,0.035696561576367136,0.43651548001791834
ridge,"{'alpha': 0.01, 'fit_intercept': False}",7,168,73145654328843.89,0.49110307520656865,0.661774365169305,1.1022634721528006,0.06807907457864194,0.4373953822599384
ridge,"{'alpha': 0.1, 'fit_intercept': True}",7,168,72431276696803.78,0.4869680708707132,0.6431824521210454,0.6463380440411977,0.35114696040305715,0.4365258499488668
ridge,"{'alpha': 0.1, 'fit_intercept': False}",7,168,72281889421773.08,0.483657066944492,0.6404473343216636,0.6214904231969466,0.38370715934090316,0.4376009179066185
ridge,"{'alpha': 1.0, 'fit_intercept': True}",7,168,70821650041286.39,0.4797276803221258,0.6261819717604656,0.5344829919953746,0.44432610173439413,0.4365560941649972
ridge,"{'alpha': 1.0, 'fit_intercept': False}",7,168,70721382865250.33,0.4764699447344596,0.6235878024745765,0.5143730888633575,0.47165818843851753,0.43756821871946694
ridge,"{'alpha': 10.0, 'fit_intercept': True}",7,168,72354833012870.19,0.473338425647633,0.6103697163101237,0.42484114539389584,0.555453444976574,0.4319726173330612
ridge,"{'alpha': 10.0, 'fit_intercept': False}",7,168,72397941459617.9,0.47018645191646297,0.6082868622436277,0.4158527370829577,0.5684062427409933,0.4327206281710363
