T_dias,modelo,parametros,duracion_segundos
7,LSTM,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",296.92
7,LSTM,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",295.46
14,LSTM,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",329.38
14,LSTM,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",330.27
21,LSTM,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",360.43
21,LSTM,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",359.12
7,LSTM,"{'hidden_units': 32, 'activation': 'sigmoid', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1803.12
7,LSTM,"{'hidden_units': 32, 'activation': 'sigmoid', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1356.41
14,LSTM,"{'hidden_units': 32, 'activation': 'sigmoid', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",2458.55
21,LSTM,"{'hidden_units': 32, 'activation': 'sigmoid', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",3300.52
7,RNN,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",759.87
7,RNN,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",757.16
7,RNN,"{'hidden_units': 32, 'activation': 'relu', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",754.92
7,RNN,"{'hidden_units': 32, 'activation': 'relu', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",752.76
7,RNN,"{'hidden_units': 64, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",740.82
7,RNN,"{'hidden_units': 64, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",733.76
7,RNN,"{'hidden_units': 64, 'activation': 'relu', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",729.00
7,RNN,"{'hidden_units': 64, 'activation': 'relu', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",731.27
14,RNN,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1238.35
14,RNN,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1203.80
14,RNN,"{'hidden_units': 32, 'activation': 'relu', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1227.56
14,RNN,"{'hidden_units': 32, 'activation': 'relu', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1178.27
14,RNN,"{'hidden_units': 64, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1224.65
14,RNN,"{'hidden_units': 64, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1168.75
14,RNN,"{'hidden_units': 64, 'activation': 'relu', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1226.64
14,RNN,"{'hidden_units': 64, 'activation': 'relu', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1162.60
21,RNN,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1661.00
21,RNN,"{'hidden_units': 32, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1644.51
21,RNN,"{'hidden_units': 32, 'activation': 'relu', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1645.84
21,RNN,"{'hidden_units': 32, 'activation': 'relu', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1606.74
21,RNN,"{'hidden_units': 64, 'activation': 'tanh', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1643.89
21,RNN,"{'hidden_units': 64, 'activation': 'tanh', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1658.69
21,RNN,"{'hidden_units': 64, 'activation': 'relu', 'learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}",1657.12
21,RNN,"{'hidden_units': 64, 'activation': 'relu', 'learning_rate': 0.005, 'epochs': 50, 'batch_size': 32}",1612.14
